net,length_um
NN4END[15],17.48µm
SS4END[5],17.48µm
SS4END[6],17.48µm
SS4END[9],17.48µm
net409,17.48µm
_0288_,17.46µm
_0385_,17.36µm
_0275_,17.34µm
_0523_,17.29µm
_0687_,17.26µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit23.Q,17.18µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit21.Q,17.18µm
_0651_,17.14µm
_0440_,17.1µm
EE4END[5],17.07µm
W6END[5],17.07µm
_0644_,17.06µm
S4END[8],17.02µm
WW4END[11],17.02µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit30.Q,16.98µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit8.Q,16.98µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit23.Q,16.94µm
EE4END[7],16.91µm
net346,16.9µm
net663,16.84µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit22.Q,16.82µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit19.Q,16.8µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit23.Q,16.795µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit9.Q,16.78µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit22.Q,16.78µm
SS4END[12],16.73µm
WW4END[9],16.71µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit13.Q,16.69µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit10.Q,16.68µm
_0035_,16.68µm
_0287_,16.52µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit26.Q,16.42µm
NN4END[5],16.37µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit8.Q,16.35µm
net312,16.32µm
net365,16.32µm
_0404_,16.3µm
net362,16.22µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit8.Q,16.18µm
_0610_,16.14µm
net60,16.14µm
EE4END[14],16.1µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit24.Q,16.1µm
_0478_,16.04µm
EE4END[6],16.03µm
net77,16µm
net298,15.98µm
_0381_,15.94µm
_0487_,15.92µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit26.Q,15.8µm
net664,15.78µm
_0157_,15.76µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit8.Q,15.74µm
_0448_,15.72µm
_0312_,15.68µm
W6END[8],15.64µm
_0388_,15.64µm
net416,15.64µm
_0242_,15.62µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit7.Q,15.6µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit31.Q,15.56µm
EE4BEG[15],15.54µm
net401,15.38µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit11.Q,15.32µm
net286,15.3µm
net350,15.3µm
_0268_,15.28µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit21.Q,15.24µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit2.Q,15.18µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit22.Q,15.17µm
W6BEG[5],15.17µm
_0175_,15.14µm
_0341_,15.14µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit2.Q,15.1µm
Inst_LA_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A13,14.96µm
net181,14.96µm
net194,14.96µm
net206,14.96µm
net281,14.96µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit15.Q,14.94µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit25.Q,14.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit13.Q,14.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit22.Q,14.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit7.Q,14.62µm
W6BEG[10],14.62µm
_0197_,14.6µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit9.Q,14.54µm
_0207_,14.54µm
_0659_,14.54µm
_0337_,14.5µm
net216,14.5µm
net309,14.5µm
net314,14.5µm
_0123_,14.46µm
_0612_,14.46µm
_0364_,14.42µm
_0582_,14.38µm
net373,14.38µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit18.Q,14.37µm
_0623_,14.34µm
net191,14.26µm
net334,14.26µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit24.Q,14.22µm
_0603_,14.22µm
net67,14.16µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit2.Q,14.1µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit18.Q,14.08µm
_0149_,14.04µm
_0474_,14.04µm
_0146_,14.02µm
_0100_,13.98µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit28.Q,13.96µm
_0695_,13.96µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit8.Q,13.92µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit23.Q,13.92µm
_0607_,13.92µm
net193,13.92µm
net294,13.92µm
net313,13.92µm
E2END[5],13.88µm
Inst_LD_LUT4c_frame_config_dffesr.LUT_flop,13.88µm
_0502_,13.88µm
_0021_,13.86µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit17.Q,13.78µm
_0277_,13.76µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit0.Q,13.725µm
_0413_,13.72µm
Inst_LA_LUT4c_frame_config_dffesr.LUT_flop,13.68µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit14.Q,13.68µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit30.Q,13.68µm
_0150_,13.68µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit13.Q,13.6µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit3.Q,13.58µm
_0048_,13.58µm
_0245_,13.58µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit18.Q,13.56µm
_0104_,13.54µm
_0246_,13.48µm
_0691_,13.46µm
net208,13.46µm
net211,13.46µm
net337,13.46µm
net393,13.46µm
N2END[5],13.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit17.Q,13.415µm
_0529_,13.41µm
_0305_,13.3µm
N4END[9],13.27µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit12.Q,13.26µm
WW4BEG[14],13.24µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A12,13.185µm
_0696_,13.18µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A1,13.16µm
net222,13.12µm
net353,13.12µm
E2BEG[4],13.08µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit5.Q,13.04µm
_0324_,13.04µm
net224,13µm
_0247_,12.98µm
_0455_,12.92µm
_0429_,12.88µm
net292,12.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit7.Q,12.86µm
_0460_,12.86µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit11.Q,12.8µm
net235,12.74µm
_0370_,12.72µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit12.Q,12.66µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit12.Q,12.64µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit3.Q,12.62µm
net46,12.62µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit17.Q,12.58µm
net284,12.58µm
net383,12.58µm
net399,12.58µm
net359,12.54µm
FrameData_O[19],12.5µm
FrameData_O[1],12.5µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A10,12.5µm
_0029_,12.5µm
_0144_,12.48µm
_0480_,12.48µm
_0549_,12.44µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit20.Q,12.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit5.Q,12.42µm
_0464_,12.415µm
N1BEG[3],12.4µm
_0366_,12.38µm
Inst_LUT4AB_ConfigMem.Inst_Frame17_bit31.Q,12.355µm
_0185_,12.34µm
_0554_,12.34µm
E2BEG[6],12.32µm
SS4BEG[15],12.32µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit4.Q,12.3µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit10.Q,12.3µm
Inst_LUT4AB_ConfigMem.Inst_Frame16_bit30.Q,12.28µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit12.Q,12.24µm
net209,12.24µm
net311,12.24µm
net315,12.24µm
_0414_,12.22µm
_0076_,12.18µm
N2BEG[6],12.16µm
N2MID[6],12.16µm
_0014_,12.16µm
Inst_LF_LUT4c_frame_config_dffesr.LUT_flop,12.12µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit1.Q,12.12µm
_0051_,12.08µm
_0435_,12.04µm
net165,12.04µm
net378,12.04µm
Inst_LC_LUT4c_frame_config_dffesr.LUT_flop,12µm
_0317_,12µm
net673,11.96µm
Inst_LF_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A7,11.9µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit11.Q,11.9µm
_0514_,11.9µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit30.Q,11.86µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A4,11.845µm
_0133_,11.84µm
_0482_,11.84µm
E2MID[1],11.82µm
FrameStrobe[10],11.82µm
_0665_,11.82µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit23.Q,11.78µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit25.Q,11.74µm
_0230_,11.74µm
_0553_,11.74µm
net188,11.74µm
net277,11.74µm
net256,11.72µm
_0257_,11.7µm
N2BEGb[7],11.68µm
_0588_,11.66µm
_0431_,11.62µm
N1END[1],11.58µm
_0041_,11.58µm
_0660_,11.58µm
net370,11.58µm
Inst_LUT4AB_ConfigMem.Inst_Frame17_bit30.Q,11.565µm
_0362_,11.56µm
net233,11.56µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit2.Q,11.52µm
_0164_,11.5µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A10,11.48µm
S2BEG[2],11.48µm
_0055_,11.42µm
FrameStrobe[16],11.36µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit9.Q,11.32µm
_0290_,11.32µm
_0472_,11.32µm
net400,11.32µm
_0359_,11.31µm
_0423_,11.3µm
_0031_,11.28µm
_0321_,11.28µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A14,11.26µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit27.Q,11.26µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit18.Q,11.26µm
_0259_,11.26µm
NN4BEG[12],11.24µm
WW4BEG[12],11.24µm
_0216_,11.24µm
_0377_,11.24µm
_0471_,11.24µm
_0676_,11.24µm
net249,11.24µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit27.Q,11.22µm
_0560_,11.22µm
net357,11.2µm
_0340_,11.16µm
E2MID[4],11.12µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit6.Q,11.12µm
_0161_,11.12µm
_0463_,11.12µm
S2MID[6],11.1µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit10.Q,11.08µm
_0422_,11.08µm
N1BEG[1],11.06µm
_0417_,11.04µm
net363,11.04µm
Inst_LUT4AB_ConfigMem.Inst_Frame16_bit1.Q,11.005µm
_0544_,10.98µm
_0591_,10.98µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit13.Q,10.96µm
Ci,10.9µm
E2MID[7],10.9µm
Inst_LH_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A2,10.9µm
UserCLK,10.9µm
_0220_,10.9µm
_0291_,10.88µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A12,10.86µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit14.Q,10.84µm
net164,10.82µm
net246,10.82µm
Co,10.8µm
FrameStrobe_O[11],10.8µm
FrameStrobe_O[16],10.8µm
N4BEG[1],10.8µm
S2BEGb[0],10.8µm
_0655_,10.8µm
E1END[3],10.78µm
net261,10.78µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit24.Q,10.74µm
_0592_,10.74µm
net244,10.74µm
EE4BEG[12],10.7µm
_0399_,10.7µm
net196,10.7µm
net302,10.7µm
NN4END[1],10.66µm
_0261_,10.62µm
_0373_,10.62µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit28.Q,10.58µm
_0211_,10.58µm
net226,10.58µm
E1BEG[0],10.56µm
E1BEG[3],10.56µm
Inst_LA_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A8,10.56µm
S2BEG[1],10.56µm
_0167_,10.56µm
_0325_,10.56µm
net212,10.54µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit13.Q,10.52µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit30.Q,10.5µm
NN4BEG[14],10.48µm
W1BEG[1],10.46µm
FrameStrobe[18],10.44µm
S2MID[0],10.44µm
_0273_,10.42µm
_0541_,10.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit22.Q,10.4µm
_0090_,10.4µm
_0105_,10.4µm
_0166_,10.4µm
_0531_,10.4µm
_0033_,10.38µm
Inst_LA_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A2,10.36µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A15,10.36µm
_0152_,10.36µm
net367,10.36µm
FrameData_O[6],10.34µm
FrameStrobe_O[15],10.34µm
S2BEGb[1],10.34µm
W2BEGb[0],10.34µm
W2BEGb[6],10.34µm
E2MID[0],10.32µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A9,10.32µm
_0641_,10.32µm
_0664_,10.32µm
Inst_LF_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A9,10.28µm
_0205_,10.28µm
_0113_,10.26µm
_0538_,10.24µm
_0688_,10.24µm
E2END[1],10.2µm
net331,10.2µm
net355,10.2µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit1.Q,10.18µm
_0621_,10.16µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit29.Q,10.14µm
N2BEG[5],10.1µm
_0322_,10.1µm
_0260_,10.04µm
_0065_,10µm
_0400_,10µm
FrameData[1],9.98µm
FrameData[31],9.98µm
FrameData[4],9.98µm
FrameData[6],9.98µm
FrameStrobe[15],9.98µm
W2MID[0],9.98µm
W2MID[6],9.98µm
_0490_,9.96µm
_0020_,9.94µm
_0088_,9.94µm
_0437_,9.94µm
_0631_,9.94µm
_0106_,9.92µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit26.Q,9.9µm
_0432_,9.9µm
_0537_,9.9µm
net328,9.9µm
FrameData_O[31],9.88µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A13,9.86µm
_0360_,9.86µm
net210,9.86µm
net229,9.86µm
net231,9.86µm
net293,9.86µm
net343,9.86µm
net395,9.86µm
_0297_,9.82µm
_0473_,9.82µm
Inst_LE_LUT4c_frame_config_dffesr.LUT_flop,9.78µm
S2BEG[4],9.78µm
net228,9.78µm
net268,9.78µm
W2END[7],9.74µm
_0250_,9.66µm
S1BEG[2],9.64µm
SS4BEG[2],9.64µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit28.Q,9.62µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A4,9.58µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A9,9.58µm
EE4BEG[13],9.56µm
S1BEG[1],9.56µm
S2BEG[5],9.56µm
_0194_,9.56µm
E2MID[6],9.52µm
FrameData[11],9.52µm
FrameData[5],9.52µm
FrameData[8],9.52µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit25.Q,9.52µm
N2MID[0],9.52µm
N2MID[7],9.52µm
S2MID[1],9.52µm
W2MID[7],9.52µm
net230,9.52µm
net278,9.52µm
net299,9.52µm
net330,9.52µm
net352,9.52µm
net366,9.52µm
net384,9.52µm
_0165_,9.48µm
_0453_,9.48µm
_0675_,9.48µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit4.Q,9.44µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit21.Q,9.44µm
_0059_,9.44µm
_0626_,9.44µm
net335,9.44µm
FrameData_O[15],9.42µm
FrameStrobe_O[14],9.42µm
UserCLKo,9.42µm
_0446_,9.42µm
net255,9.42µm
W1END[3],9.4µm
net258,9.4µm
net260,9.4µm
net339,9.4µm
net344,9.4µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit15.Q,9.36µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit21.Q,9.36µm
_0136_,9.36µm
_0421_,9.36µm
Inst_LA_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A14,9.32µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A12,9.32µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit21.Q,9.32µm
Inst_LUT4AB_ConfigMem.Inst_Frame15_bit27.Q,9.32µm
Inst_LUT4AB_switch_matrix.E1BEG2,9.32µm
_0227_,9.32µm
_0570_,9.32µm
_0583_,9.32µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit3.Q,9.3µm
S1BEG[0],9.23µm
_0155_,9.2µm
N2BEG[7],9.19µm
W2BEG[2],9.19µm
N2MID[2],9.11µm
W2MID[4],9.1µm
_0470_,9.08µm
NN4END[3],9.07µm
WW4END[2],9.07µm
FrameData[3],9.06µm
FrameStrobe[11],9.06µm
FrameStrobe[12],9.06µm
FrameStrobe[14],9.06µm
FrameStrobe[8],9.06µm
N2MID[1],9.06µm
S2MID[7],9.06µm
_0046_,9.06µm
_0137_,9.06µm
net205,9.06µm
net342,9.06µm
net389,9.06µm
_0380_,9.02µm
_0436_,9.02µm
_0415_,9µm
FrameData[21],8.98µm
Inst_LUT4AB_ConfigMem.Inst_Frame18_bit2.Q,8.98µm
net182,8.98µm
net238,8.98µm
net250,8.98µm
net381,8.98µm
net387,8.98µm
E2BEGb[0],8.96µm
E2BEGb[6],8.96µm
E6BEG[3],8.96µm
E6BEG[6],8.96µm
FrameData_O[10],8.96µm
FrameData_O[11],8.96µm
FrameData_O[12],8.96µm
FrameData_O[14],8.96µm
FrameData_O[18],8.96µm
FrameData_O[4],8.96µm
FrameData_O[5],8.96µm
FrameData_O[8],8.96µm
FrameData_O[9],8.96µm
FrameStrobe_O[12],8.96µm
FrameStrobe_O[13],8.96µm
FrameStrobe_O[18],8.96µm
FrameStrobe_O[9],8.96µm
N2BEGb[0],8.96µm
N2BEGb[1],8.96µm
S2BEGb[6],8.96µm
S4BEG[11],8.96µm
S4BEG[3],8.96µm
SS4BEG[6],8.96µm
SS4BEG[9],8.96µm
W2BEGb[1],8.96µm
W2BEGb[7],8.96µm
WW4BEG[2],8.96µm
WW4BEG[4],8.96µm
_0508_,8.96µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A11,8.94µm
net662,8.94µm
_0433_,8.9µm
_0694_,8.9µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit25.Q,8.89µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit28.Q,8.88µm
S2BEG[6],8.86µm
_0032_,8.86µm
_0405_,8.86µm
net385,8.86µm
E2BEG[1],8.85µm
N2BEG[3],8.85µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A14,8.84µm
_0427_,8.78µm
net645,8.78µm
E6BEG[5],8.76µm
FrameData_O[20],8.76µm
NN4BEG[7],8.76µm
S2BEGb[4],8.76µm
S4BEG[7],8.76µm
SS4BEG[1],8.76µm
W6BEG[6],8.76µm
WW4BEG[6],8.76µm
_0084_,8.76µm
S4BEG[13],8.73µm
FrameStrobe[13],8.72µm
FrameStrobe[17],8.72µm
W2MID[1],8.72µm
_0459_,8.72µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A8,8.7µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit21.Q,8.68µm
_0656_,8.68µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit6.Q,8.64µm
N2BEG[0],8.64µm
S2BEG[0],8.64µm
S2BEG[3],8.64µm
W1BEG[0],8.64µm
W1END[1],8.64µm
W1END[2],8.64µm
W2BEG[0],8.64µm
W2BEG[4],8.64µm
W2BEG[5],8.64µm
_0624_,8.64µm
E1END[0],8.61µm
E2END[2],8.61µm
E6END[1],8.61µm
N2END[4],8.61µm
SS4END[3],8.61µm
W2END[6],8.61µm
FrameData[12],8.6µm
_0249_,8.6µm
_0499_,8.6µm
_0564_,8.6µm
net219,8.6µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit4.Q,8.58µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A3,8.575µm
SS4BEG[10],8.57µm
_0061_,8.56µm
_0188_,8.56µm
NN4BEG[13],8.55µm
W2BEG[6],8.55µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit31.Q,8.54µm
WW4BEG[0],8.53µm
N1END[3],8.52µm
_0585_,8.52µm
net195,8.52µm
net198,8.52µm
net223,8.52µm
net236,8.52µm
net251,8.52µm
net338,8.52µm
net364,8.52µm
net382,8.52µm
net411,8.52µm
EE4BEG[14],8.51µm
E2BEGb[1],8.5µm
EE4BEG[11],8.5µm
FrameData_O[7],8.5µm
FrameStrobe_O[17],8.5µm
FrameStrobe_O[8],8.5µm
N2BEGb[6],8.5µm
S2BEGb[7],8.5µm
W6BEG[9],8.5µm
net187,8.5µm
net203,8.5µm
net232,8.5µm
net296,8.5µm
net301,8.5µm
net333,8.5µm
net351,8.5µm
net392,8.5µm
net394,8.5µm
net398,8.5µm
_0357_,8.48µm
_0452_,8.48µm
Inst_LF_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A4,8.44µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit13.Q,8.44µm
_0447_,8.44µm
E2MID[3],8.43µm
W2MID[2],8.43µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit11.Q,8.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit11.Q,8.4µm
_0581_,8.4µm
_0671_,8.4µm
net180,8.4µm
net280,8.4µm
FrameData[10],8.39µm
FrameData[2],8.39µm
N4BEG[14],8.39µm
S1END[0],8.39µm
S4END[3],8.39µm
W1END[0],8.39µm
WW4END[0],8.39µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A7,8.38µm
Inst_LH_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A1,8.38µm
_0386_,8.38µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit13.Q,8.36µm
_0530_,8.35µm
Inst_LG_LUT4c_frame_config_dffesr.LUT_flop,8.32µm
_0398_,8.32µm
FrameData[0],8.31µm
FrameData[27],8.31µm
N2MID[5],8.31µm
W6BEG[2],8.3µm
_0235_,8.28µm
FrameData[18],8.27µm
FrameData[30],8.27µm
N2END[6],8.27µm
S2END[0],8.27µm
S2END[4],8.27µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit1.Q,8.26µm
W1BEG[3],8.26µm
_0132_,8.24µm
_0685_,8.22µm
E6BEG[11],8.21µm
SS4BEG[13],8.21µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit16.Q,8.2µm
_0649_,8.18µm
N4BEG[12],8.17µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A13,8.16µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A12,8.14µm
_0040_,8.14µm
_0068_,8.14µm
net204,8.14µm
net225,8.14µm
_0112_,8.12µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit14.Q,8.1µm
_0047_,8.1µm
_0372_,8.1µm
_0461_,8.1µm
_0599_,8.1µm
E2BEGb[2],8.09µm
E2BEGb[3],8.09µm
EE4BEG[1],8.09µm
EE4BEG[4],8.09µm
EE4BEG[7],8.09µm
FrameData_O[0],8.09µm
FrameData_O[21],8.09µm
FrameData_O[2],8.09µm
N2BEGb[2],8.09µm
N4BEG[10],8.09µm
N4BEG[9],8.09µm
NN4BEG[2],8.09µm
NN4BEG[9],8.09µm
S2BEGb[2],8.09µm
S4BEG[5],8.09µm
W2BEGb[5],8.09µm
W6BEG[3],8.09µm
WW4BEG[10],8.09µm
WW4BEG[1],8.09µm
_0008_,8.08µm
E2END[7],8.06µm
FrameData[22],8.06µm
Inst_LH_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A7,8.06µm
_0116_,8.06µm
_0420_,8.06µm
net62,8.06µm
net240,8.06µm
net242,8.06µm
net245,8.06µm
net247,8.06µm
net262,8.06µm
net291,8.06µm
net303,8.06µm
FrameData_O[16],8.05µm
FrameStrobe_O[19],8.05µm
FrameStrobe_O[1],8.05µm
FrameStrobe_O[7],8.05µm
N1BEG[2],8.05µm
N4BEG[13],8.05µm
N4BEG[15],8.05µm
NN4BEG[3],8.05µm
NN4BEG[8],8.05µm
_0579_,8.05µm
E2BEGb[7],8.04µm
E6BEG[2],8.04µm
E6BEG[9],8.04µm
FrameStrobe_O[10],8.04µm
net259,8.04µm
net288,8.04µm
net348,8.04µm
net254,8.02µm
Inst_LG_LUT4c_frame_config_dffesr.c_I0mux,7.98µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit5.Q,7.98µm
_0174_,7.98µm
_0181_,7.98µm
_0030_,7.94µm
_0376_,7.94µm
_0635_,7.94µm
net197,7.94µm
net403,7.94µm
net414,7.94µm
EE4END[0],7.93µm
FrameStrobe[4],7.93µm
FrameStrobe[9],7.93µm
N2END[3],7.93µm
N4END[3],7.93µm
S4END[2],7.93µm
_0143_,7.88µm
_0488_,7.88µm
E6BEG[10],7.87µm
NN4BEG[15],7.87µm
WW4BEG[15],7.87µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit15.Q,7.86µm
_0102_,7.86µm
_0114_,7.86µm
EE4BEG[10],7.84µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit3.Q,7.84µm
W2BEGb[4],7.84µm
E2BEG[2],7.83µm
Inst_LA_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A9,7.82µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit12.Q,7.76µm
E2MID[2],7.75µm
NN4BEG[5],7.75µm
S2MID[3],7.75µm
SS4BEG[3],7.75µm
W2BEGb[2],7.75µm
W2MID[3],7.75µm
Inst_LF_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A3,7.74µm
E2BEG[0],7.72µm
S1END[1],7.72µm
E2END[0],7.71µm
E2END[4],7.71µm
FrameData[23],7.71µm
FrameData[9],7.71µm
FrameStrobe[6],7.71µm
N1END[0],7.71µm
N4END[0],7.71µm
S1BEG[3],7.71µm
S2END[3],7.71µm
W6END[0],7.71µm
WW4END[1],7.71µm
_0232_,7.7µm
_0085_,7.66µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A6,7.64µm
Inst_LF_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A11,7.64µm
_0069_,7.64µm
_0625_,7.64µm
E2MID[5],7.63µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit15.Q,7.6µm
S1END[2],7.6µm
S4END[1],7.6µm
net65,7.6µm
net213,7.6µm
net214,7.6µm
net243,7.6µm
net248,7.6µm
net253,7.6µm
net276,7.6µm
net345,7.6µm
net368,7.6µm
net388,7.6µm
E1END[2],7.59µm
E2END[3],7.59µm
E2END[6],7.59µm
FrameStrobe[0],7.59µm
NN4END[2],7.59µm
net220,7.58µm
net308,7.58µm
Inst_LC_LUT4c_frame_config_dffesr.c_I0mux,7.56µm
