net,length_um
_0159_,221.42µm
net18,220.7µm
_0663_,220.2µm
net144,219.755µm
Inst_LUT4AB_switch_matrix.S1BEG0,219.62µm
net264,218.66µm
net84,215.85µm
net430,215.43µm
net112,214.935µm
net449,214.01µm
net149,213.74µm
net693,213.7µm
net635,212.5µm
net10,212.205µm
net163,209.68µm
net120,209.14µm
net153,208.59µm
net126,206.45µm
net624,206.19µm
Inst_LUT4AB_switch_matrix.E1BEG0,206.08µm
net87,205.71µm
Inst_LUT4AB_switch_matrix.JS2BEG4,205.65µm
_0513_,205.38µm
net466,205.3µm
net61,205.06µm
net156,203.9µm
net492,203.86µm
_0652_,203.8µm
Inst_LUT4AB_switch_matrix.JW2BEG4,202.94µm
net516,202.88µm
net96,202.68µm
net174,202.44µm
net506,202.36µm
_0256_,202.3µm
net20,202.08µm
net66,201.48µm
net14,200.9µm
_0606_,200.88µm
net306,200.6µm
net11,200µm
_0252_,198.85µm
net511,198.16µm
net665,197.96µm
net497,197.46µm
net7,196.9µm
net124,196.3µm
net125,196.07µm
net86,195.685µm
net141,195.44µm
net155,195.41µm
net476,193.32µm
Inst_LUT4AB_switch_matrix.W1BEG0,193.06µm
Inst_LUT4AB_switch_matrix.SS4BEG3,192.98µm
net117,192.92µm
net446,192.86µm
net92,192.72µm
net179,191.78µm
_0099_,191.36µm
net524,190.82µm
net166,190.26µm
net685,188.62µm
Inst_LUT4AB_switch_matrix.SS4BEG0,187.38µm
net508,186.96µm
Inst_LUT4AB_switch_matrix.JS2BEG5,186µm
net89,185.56µm
net123,185.53µm
net160,184.2µm
_0016_,183.525µm
Inst_LUT4AB_switch_matrix.JN2BEG1,183.46µm
_0662_,183.08µm
net38,182.12µm
net17,181.98µm
net440,179.06µm
net30,179.04µm
net279,178.46µm
net535,175.12µm
net115,173.96µm
Inst_LUT4AB_switch_matrix.EE4BEG3,173.2µm
net95,172.73µm
net6,171.76µm
_0240_,171.41µm
net99,170.44µm
net1,170.08µm
net649,170.08µm
net37,169.54µm
Inst_LUT4AB_switch_matrix.EE4BEG0,167.48µm
net152,167.12µm
net651,165.955µm
net69,164.42µm
net510,164.22µm
net274,163.84µm
net323,162.41µm
net64,159.98µm
net190,158.16µm
Inst_LUT4AB_switch_matrix.JN2BEG0,156.065µm
Inst_LUT4AB_switch_matrix.E1BEG3,156.02µm
net68,155.96µm
net603,155.84µm
net5,155.68µm
Inst_LUT4AB_switch_matrix.W6BEG0,155.64µm
net503,154.42µm
Inst_LUT4AB_switch_matrix.M_AH,154.28µm
net515,153.5µm
net422,152.76µm
net217,152.22µm
net321,152.14µm
net21,151.72µm
net48,151.68µm
net696,150.66µm
net436,150.24µm
net140,149.825µm
net472,149.72µm
net28,148.96µm
Inst_LUT4AB_switch_matrix.NN4BEG2,147.84µm
Inst_LUT4AB_switch_matrix.N1BEG3,147.24µm
_0331_,146.74µm
_0182_,146.67µm
_0110_,146.48µm
_0254_,146.08µm
net326,146.06µm
net41,145.74µm
net127,145.54µm
net505,144.48µm
net694,144.455µm
net300,144.06µm
net184,143.6µm
Inst_LUT4AB_switch_matrix.N4BEG3,143.58µm
_0017_,142.795µm
Inst_LUT4AB_switch_matrix.S1BEG3,142.62µm
Inst_LUT4AB_switch_matrix.W1BEG3,140.96µm
_0229_,139.42µm
net318,139.42µm
Inst_LUT4AB_switch_matrix.NN4BEG1,139.34µm
_0674_,139.24µm
Inst_LUT4AB_switch_matrix.W6BEG1,138.98µm
net147,138.36µm
net519,137.31µm
C,135.82µm
Inst_LUT4AB_switch_matrix.EE4BEG1,135.78µm
Inst_LUT4AB_switch_matrix.N4BEG0,135.28µm
Inst_LUT4AB_switch_matrix.NN4BEG0,135.28µm
net52,134.48µm
net502,134.2µm
_0389_,133.94µm
Inst_LUT4AB_switch_matrix.WW4BEG1,133.82µm
_0272_,133.8µm
net686,133.08µm
_0244_,131.88µm
net415,131.46µm
Inst_LUT4AB_switch_matrix.SS4BEG1,131.4µm
_0294_,131.34µm
Inst_LUT4AB_switch_matrix.S4BEG3,130.8µm
_0062_,130.58µm
Inst_LUT4AB_switch_matrix.E2BEG3,129.04µm
E6END[10],128.87µm
_0238_,128.84µm
net146,127.38µm
_0083_,126.74µm
_0206_,126.74µm
_0639_,126.56µm
Inst_LUT4AB_switch_matrix.S4BEG0,126.28µm
Inst_LUT4AB_switch_matrix.N1BEG2,126.26µm
net620,126.2µm
Inst_LUT4AB_switch_matrix.JW2BEG6,125.96µm
net361,125.1µm
Inst_LUT4AB_switch_matrix.M_AB,125.025µm
Inst_LUT4AB_switch_matrix.WW4BEG2,124.62µm
Inst_LUT4AB_switch_matrix.EE4BEG2,121.94µm
Inst_LUT4AB_switch_matrix.JW2BEG2,121.88µm
_0269_,121.58µm
Inst_LUT4AB_switch_matrix.WW4BEG3,119.78µm
Inst_LUT4AB_switch_matrix.E6BEG1,119.34µm
net285,118.32µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit1.Q,116.66µm
Inst_LUT4AB_switch_matrix.JS2BEG3,116.28µm
net234,115.54µm
_0605_,115.02µm
net47,114.74µm
Inst_LUT4AB_switch_matrix.S4BEG1,113.64µm
_0169_,112.02µm
net168,111.76µm
_0078_,111.475µm
Inst_LUT4AB_switch_matrix.JW2BEG0,110.785µm
_0140_,110.32µm
net637,109.62µm
_0629_,109.54µm
net377,108.74µm
net375,107.6µm
_0129_,107.34µm
_0107_,107.33µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit29.Q,105.755µm
net263,105.52µm
Inst_LUT4AB_switch_matrix.SS4BEG2,105.46µm
N4END[4],105.13µm
net310,105.06µm
_0109_,104.54µm
net221,103.84µm
Inst_LUT4AB_switch_matrix.E2BEG5,102.82µm
net79,102.58µm
Inst_LUT4AB_switch_matrix.S1BEG1,102.1µm
Inst_LUT4AB_switch_matrix.W1BEG2,101.34µm
net272,101.1µm
Inst_LUT4AB_switch_matrix.S4BEG2,101.06µm
_0280_,100.96µm
_0121_,100.5µm
_0619_,99.34µm
net396,99.24µm
net504,98.42µm
_0168_,97.58µm
_0094_,96.18µm
net33,95.92µm
net227,95.74µm
_0682_,94.4µm
net347,93.84µm
_0301_,93.385µm
Inst_LUT4AB_switch_matrix.N4BEG2,92.9µm
_0642_,92.66µm
_0079_,92.28µm
_0608_,91.94µm
Inst_LUT4AB_switch_matrix.JS2BEG7,91.56µm
_0620_,90.24µm
net325,90.1µm
_0218_,88.96µm
_0266_,88.7µm
_0071_,88.68µm
_0126_,88.38µm
net49,86.8µm
_0326_,86.7µm
net218,86.56µm
net324,86.32µm
_0661_,86.24µm
_0096_,85.98µm
_0081_,85.95µm
net672,85.76µm
net237,85.32µm
net172,84.1µm
_0077_,82.72µm
_0212_,82.26µm
net183,80.72µm
net150,80.39µm
_0023_,79.72µm
net322,79.24µm
WW4END[13],79.23µm
_0119_,78.62µm
net56,78.4µm
_0684_,75.76µm
_0171_,75.64µm
_0643_,74.18µm
net121,73.52µm
net15,73.08µm
net647,73.02µm
_0253_,72.86µm
_0015_,71.7µm
Inst_LUT4AB_switch_matrix.W1BEG1,70.96µm
net639,70.58µm
net678,70.22µm
Inst_LUT4AB_switch_matrix.JN2BEG7,69.88µm
net271,69.2µm
net189,68.06µm
net170,68.04µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit29.Q,67.91µm
SS4END[14],67.05µm
D,67.04µm
Inst_LUT4AB_switch_matrix.N1BEG1,66.82µm
Inst_LUT4AB_switch_matrix.WW4BEG0,66.6µm
_0264_,66.54µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit24.Q,64.57µm
net354,64.26µm
_0074_,63.84µm
Inst_LUT4AB_switch_matrix.E1BEG1,63.72µm
_0214_,61.48µm
_0511_,61.34µm
net320,60.88µm
_0243_,60.78µm
_0323_,60.72µm
_0304_,60.7µm
_0237_,60.62µm
_0210_,58.325µm
_0010_,57.8µm
Inst_LUT4AB_switch_matrix.N4BEG1,57.34µm
_0551_,57.22µm
net374,56.52µm
net408,56.1µm
_0302_,55.995µm
_0355_,55.29µm
net39,54.64µm
G,54.34µm
W6END[10],54.13µm
_0075_,53.96µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit15.Q,53.78µm
_0334_,53.26µm
_0270_,52.84µm
_0097_,52.82µm
NN4END[10],52.09µm
_0228_,51.92µm
_0073_,51.46µm
E6END[9],51.06µm
net93,51.04µm
_0158_,50.92µm
S4END[11],50.78µm
_0172_,50.72µm
net72,50.32µm
net336,50.1µm
net633,49.66µm
net269,49.56µm
_0354_,49.26µm
_0208_,49µm
_0378_,48.8µm
net619,48.4µm
_0092_,47.48µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit18.Q,47.24µm
_0443_,46.98µm
_0352_,46.18µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit28.Q,46.1µm
_0309_,45.1µm
_0125_,44.6µm
_0285_,43.46µm
_0209_,42.66µm
Inst_LUT4AB_switch_matrix.E2BEG6,42.36µm
_0510_,42.12µm
_0442_,42.08µm
net175,41.62µm
_0396_,41.57µm
_0395_,41.5µm
_0019_,41.22µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit9.Q,40.2µm
_0022_,39.94µm
net636,39.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit7.Q,39.56µm
_0124_,39.46µm
Inst_LUT4AB_switch_matrix.JS2BEG0,38.905µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit29.Q,38.455µm
Inst_LH_LUT4c_frame_config_dffesr.c_I0mux,38.36µm
_0213_,38.36µm
net173,38.32µm
net169,38.22µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit7.Q,38µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit8.Q,37.39µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit11.Q,37.36µm
_0122_,37.02µm
_0170_,36.88µm
_0080_,36.76µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit15.Q,35.9µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit21.Q,35.82µm
_0286_,35.72µm
_0336_,35.635µm
net74,35.6µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit20.Q,35.54µm
Inst_LUT4AB_switch_matrix.JN2BEG5,35.42µm
_0303_,35.4µm
_0193_,35.32µm
_0203_,35.195µm
_0292_,34.84µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit21.Q,34.6µm
_0299_,34.6µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit14.Q,34.52µm
E6END[8],34.3µm
_0018_,34.26µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit12.Q,33.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit15.Q,33.38µm
_0628_,32.66µm
_0108_,32.4µm
net63,32.29µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit17.Q,32.12µm
_0393_,31.8µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit10.Q,31.54µm
_0344_,31.54µm
_0138_,31.52µm
Inst_LA_LUT4c_frame_config_dffesr.c_I0mux,31.48µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit11.Q,31.41µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit4.Q,31.41µm
_0313_,31.41µm
Inst_LUT4AB_switch_matrix.JS2BEG6,31.32µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit25.Q,31.21µm
